0,1,2,3
10.0,0.0,1999-05-18,000060
0.0,2.0,1997-07-15,000060
0.0,0.6,2021-06-24,000061
0.0,0.6,2020-06-18,000061
0.0,0.1,2019-06-18,000061
0.0,0.5,2018-06-25,000061
0.0,0.5,2017-06-30,000061
0.0,0.5,2016-06-27,000061
0.0,0.5,2015-06-29,000061
0.0,0.5,2014-06-26,000061
0.0,0.5,2013-06-26,000061
8.0,1.0,2012-05-10,000061
0.0,1.1,2011-06-29,000061
0.0,1.0,2010-06-21,000061
7.0,1.5,2009-06-03,000061
0.0,1.0,2008-06-17,000061
0.0,0.5,2005-06-28,000061
8.0,2.0,2003-09-16,000061
0.0,2.0,2002-06-26,000061
0.0,2.0,2001-06-26,000061
2.0,3.0,2000-06-14,000061
7.0,0.0,1998-04-10,000061
3.5,0.0,1997-06-26,000061
0.0,3.0,2022-05-11,000062
0.0,2.0,2021-04-23,000062
0.0,1.5,2020-05-08,000062
4.5,2.5,2019-05-10,000062
0.0,3.5,2018-05-09,000062
0.0,2.0,2017-05-12,000062
0.0,1.0,2016-05-13,000062
0.0,0.5,2015-07-08,000062
0.0,3.0,2014-05-09,000062
0.0,1.5,2013-04-16,000062
0.0,0.5,2011-05-09,000062
0.0,0.5,2010-06-25,000062
0.0,0.5,2009-08-12,000062
0.0,0.5,2008-06-27,000062
0.0,0.5,2007-08-08,000062
0.0,0.875273,2006-08-18,000062
0.0,1.0,2005-07-21,000062
0.0,1.0,2004-07-30,000062
0.0,1.0,2003-07-25,000062
0.0,1.0,2002-07-18,000062
0.0,1.0,2001-06-26,000062
0.0,1.0,2000-06-23,000062
3.0,0.0,1999-06-01,000062
10.0,0.0,1997-06-27,000062
0.0,3.0,2022-05-10,000063
0.0,2.0,2021-08-20,000063
0.0,2.0,2020-08-12,000063
0.0,2.5,2016-07-15,000063
2.0,2.0,2015-07-17,000063
0.0,0.3,2014-07-24,000063
0.0,2.0,2012-07-18,000063
2.0,3.0,2011-07-07,000063
5.0,3.0,2010-06-24,000063
3.0,3.0,2009-06-05,000063
